address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 1432 24th Avenue,4,5,1775,925000,Central Sunset,5
Address: 465 Monticello Street,1.5,3,1750,1403000,Ingleside Terrace,6
Address: 2530 14th Avenue,1,3,1840,1750000,West Portal,8
Address: 3840 Market Street #102,1,1,936,830000,Twin Peaks,3
Address: 406 Vallejo Street,1,2,778,1150000,Telegraph Hill,4
Address: 1750 Silliman Street,1,2,1214,969000,Portola,7
Address: 363 Valencia Street #4,2,1,1483,1575000,Mission,6
Address: 1301 Indiana Street #405,2,3,1463,1410000,Central Waterfront - Dogpatch,5
Address: 650 Delancey Street #414,2,2,1769,2100000,South Beach,5
Address: 763 Lakeview Avenue,2,3,1400,758000,Oceanview,6
Address: 274 Lowell Street,2,4,1548,815000,Crocker Amazon,8
Address: 1 Seymour Street,1,2,945,880000,Western Addition,4
Address: 1489 11th Avenue,1,2,912,1222000,Inner Sunset,4
Address: 16 Gaviota Way,2,3,1836,1555000,Miraloma Park,6
Address: 333 1st Street #N907,2,2,950,1200000,South Beach,4
Address: 1835 Franklin Street #1003,2,2,1500,1560000,Pacific Heights,4
Address: 157 Ocean Avenue,2,3,1668,1050000,Mission Terrace,7
Address: 3101 Clay Street #2,1,1,933,1155000,Pacific Heights,4
Address: 2249 Clay Street #1,3,3,1960,2532000,Pacific Heights,9
Address: 1646 Lyon Street,2,3,1806,3025000,Lower Pacific Heights,8
Address: 2738 Great Highway,2.5,3,1938,1380000,Outer Parkside,6
Address: 195 20th Avenue #5,1,1,638,525000,Lake,3
Address: 420 38th Avenue,2.5,4,2346,1600000,Outer Richmond,8
Address: 950 Harrison Street #103,3,2,1640,1042000,South of Market,6
Address: 239 Cotter Street,2,3,1544,1280000,Mission Terrace,7
Address: 2574 28th Avenue,2,2,1205,1150000,Parkside,8
Address: 2400 Pacheco Street,1.3,2,1200,1200000,Parkside,5
Address: 1306 10th Avenue,3.5,4,2939,2300000,Inner Sunset,9
Address: 1649 Beach Street,2,2,1802,1992000,Marina,6
Address: 460 Monticello Street,1,3,1620,1550000,Ingleside Terrace,6
Address: 550 Bowdoin Street,1,2,1250,550000,Portola,6
Address: 88 King Street #411,2,2,1279,1460000,South Beach,4
Address: 3976 18th Street,1.5,2,1225,1785000,Eureka Valley - Dolores Heights - Castro,6
Address: 3872 19th Street,3.5,4,3234,3200000,Eureka Valley - Dolores Heights - Castro,13
Address: 2042 45th Avenue,1,3,1125,800000,Outer Parkside,5
Address: 2070 16th Avenue,2,3,1404,1482000,Inner Parkside,9
Address: 157 24th Avenue,2.5,3,1562,2275000,Lake,5
Address: 215 Red Rock Way #301J,1,2,990,760000,Diamond Heights,4
Address: 1177 California Street #931,2.5,2,1745,1595000,Downtown,5
Address: 900 Bush Street #402,2,2,598,550000,Downtown,4
Address: 66 Cleary Court #402,2,3,1096,750000,Western Addition,5
Address: 1707 Jones Street,3,3,2079,2925000,Russian Hill,7
Address: 1511 Dolores Street,2,3,1628,2125000,Noe Valley,7
Address: 143 Albion Street,4.5,4,4153,6500000,Mission,9
Address: 101 Lombard Street #414W,1,1,1062,899000,Telegraph Hill,4
Address: 4220 21st Street,1,1,741,1230000,Eureka Valley - Dolores Heights - Castro,4
Address: 3066 Market Street,1,1,1375,2325000,Corona Heights,5
Address: 1590 Golden Gate Avenue #B,2,3,1240,1120000,Western Addition,6
Address: 1909 Ellis Street,4,0,3436,1950000,Western Addition,17
Address: 2214 34th Avenue,2,2,1596,1259000,Parkside,12
Address: 2123 28th Avenue,1.5,3,1554,1440000,Parkside,5
Address: 708 Page Street,1,2,1300,1300000,Hayes Valley,5
Address: 718 Shrader Street,2,3,1850,1525000,Haight-Ashbury,6
Address: 685 25th Avenue,1,2,1800,739500,Central Richmond,7
Address: 643 33rd Avenue,1.5,3,2135,1625000,Outer Richmond,8
Address: 1331 45th Avenue,1,3,1750,1065000,Outer Sunset,5
Address: 3615 Buchanan Street #201,2,2,1290,1500000,Marina,3
Address: 1865 Greenwich Street,4.5,4,3523,5700000,Cow Hollow,8
Address: 2900 Vallejo Street,6.5,4,8675,12500000,Pacific Heights,16
Address: 10 Gilroy Street,2,3,1700,500000,Bayview,7
Address: 3212 Ingalls Street,3.5,4,2700,850000,Bayview,8
Address: 1698 Armstrong Avenue,1.5,2,1490,1100000,Bayview,5
Address: 701 Teresita Boulevard,1,2,1562,1152000,Miraloma Park,5
Address: 292 Juanita Way,3,4,2914,2350000,Miraloma Park,11
Address: 126 Miraloma Drive,6,9,6762,3330000,St. Francis Wood,16
Address: 325 Berry Street #520,2,2,1,1485000,South of Market,5
Address: 300 3rd Street #1209,1,0,581,560000,Yerba Buena,2
Address: 300 3rd Street #1112,1,1,960,1005000,Yerba Buena,3
Address: 668 Ellsworth Street,2,2,1300,1009000,Bernal Heights,6
Address: 330 Peru Avenue,1,2,1200,825000,Excelsior,5
Address: 2182 28th Avenue,1,2,1456,1110000,Parkside,6
Address: 2345 14th Avenue,1,2,1512,1380000,Inner Parkside,6
Address: 630 Page Street,2,4,2500,3450000,Hayes Valley,9
Address: 1666 48th Avenue,4,6,4065,572000,Outer Sunset,13
Address: 500 Rockdale Drive,1,3,1310,985000,Miraloma Park,7
Address: 818 Teresita Boulevard,2,2,1730,1515000,Miraloma Park,6
Address: 2776 Diamond Street,2,3,1250,1275000,Glen Park,7
Address: 95 McCoppin Street #E410,1,1,731,735000,South of Market,3
Address: 250 King Street #522,2,2,1126,560000,South of Market,4
Address: 1001 Pine Street #412,1,0,815,500000,Downtown,2
Address: 25 Del Monte Street,2,3,1000,960000,Outer Mission,5
Address: 2999 California Street #305,1,1,615,575000,Lower Pacific Heights,2
Address: 2205 34th Avenue,2,3,2025,1070000,Parkside,8
Address: 159 Dorantes Avenue,3,3,2534,1838000,Forest Hill,7
Address: 250 Laurel Street #202,2,3,1850,2405000,Presidio Heights,8
Address: 1739 39th Avenue,1,2,950,925000,Outer Sunset,5
Address: 1426 Van Dyke Avenue,1,2,1200,490500,Bayview,5
Address: 312 Salinas Avenue,2,3,1116,675000,Bayview,5
Address: 175 Red Rock Way #304K,1,0,592,530000,Diamond Heights,3
Address: 838 Detroit Street,1,2,1100,1030000,Miraloma Park,5
Address: 357 Chenery Street,1,1,723,1450000,Glen Park,7
Address: 183 Brompton Avenue,3,4,1860,2075000,Glen Park,10
Address: 1069 Broadway #A,1,2,1203,1500000,Nob Hill,5
Address: 1627 18th Street,1.5,1,775,801000,Potrero Hill,4
Address: 219 Brannan Street #15C,1,1,899,1180000,South Beach,3
Address: 695 5th Street #T10,3,2,1754,1240000,South of Market,5
Address: 631 Folsom Street,2,2,1000,1750000,Yerba Buena,6
Address: 1263 Green Street,1,3,1313,1000000,Russian Hill,6
Address: 1237 Chestnut Street #3,1,2,1248,1150000,Russian Hill,4
Address: 1146 Florida Street,1,2,1150,1705000,Mission,5
Address: 3 Byron Court,3,5,2003,830000,Crocker Amazon,8
Address: 156 Southwood Drive,2,3,1450,1365000,Westwood Park,8
Address: 1940 Buchanan Street #A,1,0,600,455000,Lower Pacific Heights,2
Address: 2331 46th Avenue,2,3,1700,1150000,Outer Parkside,8
Address: 2562 36th Avenue,3,3,2146,1355000,Parkside,8
Address: 538 Waller Street,3,12,5625,2800000,Hayes Valley,18
Address: 535 44th Avenue,1.25,2,1410,1075000,Outer Richmond,8
Address: 1743 10th Avenue,2,3,1960,1900000,Inner Sunset,8
Address: 2046 Greenwich Street #2,1.5,1,1004,1060000,Cow Hollow,4
Address: 250 Granville Way,2,3,2568,2300000,West Portal,7
Address: 75 Mangels Avenue,2,3,1215,1525000,Glen Park,6
Address: 2 Kronquist Court,3,3,2175,3300000,Noe Valley,7
Address: 337 Greenwich Street,2,2,1461,3175000,Telegraph Hill,4
Address: 201 Harrison Street #911,1,1,572,663000,South Beach,2
Address: 555 4th Street #509,1,1,691,750000,South of Market,3
Address: 151 Alice B Toklas Place #509,1,2,1337,1010000,Van Ness - Civic Center,4
Address: 350 Broderick Street #210,1,1,690,800000,North Panhandle,4
Address: 21 Paramount Terrace,1,2,1200,1150000,Lone Mountain,5
Address: 1863 45th Avenue,1,2,800,905000,Outer Sunset,4
Address: 1365 6th Avenue,4.5,5,2700,2500000,Inner Sunset,7
Address: 2674 Lombard Street,2,3,2220,2535000,Cow Hollow,11
Address: 15 Teresita Boulevard #4,2,2,860,680000,Miraloma Park,4
Address: 504 Melrose Avenue,1,2,890,1342000,Westwood Highlands,4
Address: 1245 Monterey Boulevard,3,4,2668,2200000,Mount Davidson Manor,7
Address: 752 Duncan Street,6.5,5,4000,4850000,Noe Valley,5
Address: 740 Head Street,2,3,1438,900000,Merced Heights,6
Address: 1 Clarence Place #11,2,1,863,993000,South Beach,4
Address: 1260 Clay Street #205,1,1,575,475000,Nob Hill,3
Address: 1218 Treat Avenue,3,3,1868,540000,Mission,5
Address: 133 Ellert Street #1,1,2,1156,1150000,Bernal Heights,5
Address: 266 Winfield Street,1,2,1150,1280000,Bernal Heights,6
Address: 3620 19th Street #10,2.5,2,1510,1600000,Mission,6
Address: 47 Harrington Street,2,2,1700,850000,Mission Terrace,7
Address: 270 Athens Street,2,3,1750,860000,Excelsior,5
Address: 85 Valdez Avenue,1,2,1189,1250000,Westwood Park,5
Address: 2683 Pine Street,2.5,3,2770,2550000,Lower Pacific Heights,6
Address: 25 Normandie Terrace,4,4,3773,6500000,Pacific Heights,9
Address: 2359 39th Avenue,2,3,1362,1227000,Outer Parkside,6
Address: 2251 15th Avenue,3.5,6,2246,1510000,Inner Parkside,9
Address: 595 12th Avenue #5,1,1,800,750000,Inner Richmond,3
Address: 500 Point Lobos Avenue,2,3,1350,600000,Outer Richmond,7
Address: 6738 Fulton Street,1,2,1105,825000,Outer Richmond,5
Address: 2468 Cabrillo Street,1,1,1010,1100000,Central Richmond,5
Address: 562 28th Avenue,1.5,3,1600,1629000,Central Richmond,6
Address: 1762 Palou Avenue,4.5,5,3360,1080000,Silver Terrace,13
Address: 447 Laidley Street,1,2,800,765000,Glen Park,4
Address: 221 Chenery Street,1,3,867,1280000,Glen Park,5
Address: 116 Emerald Cove Terrace,4,4,1655,805000,Bayview,11
Address: 125 Gilbert Street #10,1.5,1,948,860000,South of Market,2
Address: 281 Clara Street #4,1.5,1,1305,975000,South of Market,8
Address: 1895 Pacific Avenue #305,1.5,1,1115,1075000,Pacific Heights,4
Address: 678 Precita Avenue,2,3,1300,1250000,Bernal Heights,7
Address: 24 Regent Street,1,2,1000,663500,Outer Mission,5
Address: 962 Edinburgh Street,2,4,1518,895000,Excelsior,7
Address: 532 45th Avenue,1,4,2300,800000,Outer Richmond,8
Address: 857 39th Avenue,2,2,1451,1075000,Outer Richmond,5
Address: 1538 42nd Avenue,2,3,1360,901000,Outer Sunset,6
Address: 2522 Octavia Street #2,2,2,1297,1300000,Pacific Heights,4
Address: 146 Bright Street,1,2,1190,756000,Ingleside Heights,5
Address: 300 3rd Street #318,2,2,1542,1150000,Yerba Buena,4
Address: 200 Brannan Street #438,3,3,2025,1009500,South Beach,6
Address: 901 Powell Street #6,2,2,1562,1390000,Nob Hill,5
Address: 1362 Vallejo Street #D,3,2,1462,900000,Russian Hill,5
Address: 1483 Sutter Street #1707,2,2,1403,1275000,Van Ness - Civic Center,5
Address: 1645 Pacific Avenue #6B,2,2,1257,1590000,Nob Hill,5
Address: 460 Anderson Street,1,3,1145,1090000,Bernal Heights,5
Address: 153 Paris Street,1,2,850,780000,Excelsior,6
Address: 34 Rhine Street,2,3,1360,1005000,Outer Mission,5
Address: 351 Louisburg Street,4,4,3092,1250000,Ingleside,10
Address: 224 Castro Street,1,2,1300,1250000,Corona Heights,5
Address: 466 Clipper Street,3,2,1700,2251500,Noe Valley,6
Address: 1300 Eddy Street,2,3,1900,180000,Western Addition,5
Address: 803 Central Avenue,3,3,1457,1625000,North Panhandle,5
Address: 2083 45th Avenue,1,3,1214,958000,Outer Parkside,5
Address: 798 Stanyan Street #1,2,2,1395,1380000,Haight-Ashbury,4
Address: 1612 Anza Street,1,0,1030,1600000,Inner Richmond,5
Address: 715 32nd Avenue,5,5,3060,2565000,Outer Richmond,13
Address: 1250 27th Avenue,1,2,1080,750000,Central Sunset,5
Address: 3 Las Villas Court,3,3,1515,482000,Bayview,6
Address: 139 Maddux Avenue,1,2,1175,745000,Silver Terrace,5
Address: 112 Baden Street,2,2,1645,1175000,Sunnyside,5
Address: 195 7th Street #209,1,0,307,415000,South of Market,2
Address: 1488 Harrison Street #302,2,1,1185,977000,South of Market,4
Address: 42 Prospect Avenue,3,4,1935,2350000,Bernal Heights,8
Address: 108 Congdon Street,2,3,750,617000,Excelsior,5
Address: 40 Valmar Terrace,1.5,3,1328,800000,Excelsior,6
Address: 172 Corwin Street,2,4,2210,1758000,Eureka Valley - Dolores Heights - Castro,6
Address: 1915 Rivera Street,2,4,1496,1135000,Parkside,7
Address: 2250 34th Avenue,3,4,2170,1625000,Parkside,7
Address: 2447 Vallejo Street #1,1,1,1325,1510000,Pacific Heights,4
Address: 1380 Oakdale Avenue,1,3,1578,271500,Bayview,6
Address: 418 Jessie Street #503A,1,1,728,970000,South of Market,5
Address: 301 Mission Street #1A,3,3,2706,8100000,South Beach,3
Address: 364 Arkansas Street,2,2,1031,1100000,Potrero Hill,5
Address: 631 Folsom Street #20C,2,2,1054,1550000,Yerba Buena,5
Address: 1177 California Street #1201,1,1,884,930000,Downtown,3
Address: 1855 Sacramento Street #2,1,2,1222,1305000,Pacific Heights,5
Address: 564 Diamond Street,1.5,3,1595,2160000,Noe Valley,6
Address: 2023 43rd Avenue,2,4,1439,850000,Outer Parkside,7
Address: 455 Upper Terrace #5,2,2,980,1150000,Parnassus - Ashbury,5
Address: 956 Ashbury Street,2.5,5,3000,3000000,Parnassus - Ashbury,6
Address: 3832 Moraga Street,1,2,950,930000,Outer Sunset,4
Address: 1745 11th Avenue,3,4,2347,1550000,Inner Sunset,8
Address: 3539 Webster Street,5,6,4197,3322500,Marina,14
Address: 96 Bitting Avenue,2,3,1394,740000,Bayview,6
Address: 27 Rio Court,3,3,2315,1775000,Miraloma Park,8
Address: 8200 Oceanview Terrace #113,1,1,747,535000,Ingleside Heights,4
Address: 385 Maynard Street,2,3,1244,850000,Excelsior,6
Address: 506 6th Avenue,3,4,2200,2050000,Inner Richmond,7
Address: 3383 Clay Street,3.5,4,3150,4500000,Presidio Heights,11
Address: 454 32nd Avenue,1,2,1200,1213800,Central Richmond,5
Address: 3350 Cabrillo Street,3,3,2201,1808500,Outer Richmond,6
Address: 49 Scotia Avenue,1,2,1482,705000,Silver Terrace,5
Address: 119 Joost Avenue,2,3,1706,1484500,Sunnyside,5
Address: 174 Springfield Drive,2,2,1400,1302000,Lakeshore,8
Address: 111 Hahn Street,1,2,975,625000,Visitacion Valley,5
Address: 45 Rosemont Place,2,3,1828,1950000,Mission,6
Address: 821 Folsom Street #315,2,2,1074,1100000,Yerba Buena,5
Address: 320 Alabama Street #22,1,1,1249,1320000,Mission,3
Address: 1617 Treat Avenue,1,3,1314,1605000,Bernal Heights,6
Address: 917 Florida Street,1,3,1405,1660000,Mission,7
Address: 2350 39th Avenue,1,3,1220,1100000,Outer Parkside,5
Address: 300 Mangels Avenue,2,3,1454,1100000,Sunnyside,6
Address: 11 Argent Aly #2,1,1,566,575000,Twin Peaks,3
Address: 749 Congo Street,2,2,1534,1425000,Glen Park,5
Address: 961 Pacific Avenue,1,3,1460,1300000,Nob Hill,6
Address: 121 Ward Street,2,2,1200,570000,Visitacion Valley,6
Address: 1350 Felton Street,3,3,1871,1160000,Portola,7
Address: 360 10th Street #3,2,1,1359,950000,South of Market,6
Address: 88 King Street #1219,2,2,1165,1508000,South Beach,4
Address: 703 Crescent Avenue,1,2,903,912500,Bernal Heights,4
Address: 101 Lombard Street #309W,2,2,1590,1100000,Telegraph Hill,5
Address: 976 Elizabeth Street,2,2,1671,800000,Noe Valley,6
Address: 240 Caselli Avenue,3.5,3,1966,2350000,Eureka Valley - Dolores Heights - Castro,6
Address: 2800 California Street #402,1,2,800,407500,Pacific Heights,4
Address: 2583 31st Avenue,2.5,4,1613,1025000,Parkside,7
Address: 2519 27th Avenue,2,3,1400,1298000,Parkside,6
Address: 1860 Page Street #201,2,3,1660,1700000,Haight-Ashbury,7
Address: 318 30th Avenue,2,3,1150,1242000,Central Richmond,7
Address: 715 46th Avenue,2,3,1395,1300000,Outer Richmond,7
Address: 2690 15th Avenue,2,3,1656,1450000,West Portal,6
Address: 168 Lunado Court,3,4,2887,1680000,Ingleside Terrace,9
Address: 134 Wawona Street,2,4,1888,1990000,West Portal,8
Address: 154 Vernon Street,1,2,1620,700000,Ingleside Heights,6
Address: 83 McAllister Street #508,1,1,678,720000,Van Ness - Civic Center,3
Address: 2501 Harrison Street #16,1.5,1,1047,1260000,Mission,6
Address: 422 Vicente Street,5,5,5000,999000,Inner Parkside,10
Address: 1921 17th Avenue,1,2,1678,1525000,Inner Parkside,6
Address: 422 21st Avenue,3.5,4,3500,2250000,Central Richmond,8
Address: 1175 Girard Street,1,2,1045,670000,Visitacion Valley,5
Address: 1160 Mission Street #506,2,2,1235,1430000,South of Market,5
Address: 425 1st Street #1307,1,1,819,1050000,South Beach,3
Address: 188 Minna Street #30C,2.5,2,1670,3000000,Yerba Buena,7
Address: 555 4th Street #930,1,1,660,851000,South of Market,4
Address: 260 King Street #1405,2,2,1488,1538500,South of Market,4
Address: 1001 Pine Street #1112,1,1,450,1075000,Downtown,2
Address: 1775 Broadway #19,2,2,1069,1427000,Pacific Heights,5
Address: 2340 Larkin Street #2,2,2,2103,2910000,Russian Hill,7
Address: 3321 19th Street,2.5,3,1700,1680000,Mission,6
Address: 139 Tingley Street,1,2,1325,950000,Mission Terrace,5
Address: 191 Lower Terrace,2,3,1831,1765000,Corona Heights,6
Address: 4540 19th Street,2,3,1750,1990000,Eureka Valley - Dolores Heights - Castro,6
Address: 4546 19th Street,1,3,1750,3500000,Eureka Valley - Dolores Heights - Castro,6
Address: 2118 22nd Avenue,1.5,4,1468,1171500,Parkside,5
Address: 76 Rossi Avenue,4,6,2868,2895000,Lone Mountain,9
Address: 155 24th Avenue #5,2,3,1572,1650000,Lake,6
Address: 55 Maddux Avenue,1,2,850,580000,Silver Terrace,4
Address: 1500 Jerrold Avenue,2,3,1250,850000,Bayview,6
Address: 5175 Diamond Heights Boulevard #120,1,1,700,680000,Diamond Heights,3
Address: 429 Dellbrook Avenue,2,3,1127,1260000,Midtown Terrace,6
Address: 419 Bright Street,2,3,1388,1068000,Merced Heights,6
Address: 1 Huntington Drive,2.5,3,1589,1400000,Lakeshore,8
Address: 3164 San Bruno Avenue,2,3,1375,588000,Portola,8
Address: 1759 48th Avenue,2,2,1475,981000,Outer Sunset,8
Address: 821 Folsom Street #207,2,2,1105,1185000,Yerba Buena,5
Address: 170 King Street #927,2,2,1019,1295000,South Beach,4
Address: 1040 Pine Street #A,1,1,644,760000,Downtown,3
Address: 851 Van Ness Avenue #201,2,2,1054,950000,Van Ness - Civic Center,3
Address: 386 Dolores Street,4,6,3301,106000,Mission,15
Address: 1231 York Street #1231A,2,3,1434,955000,Mission,7
Address: 2981 26th Street #1,2,3,1168,987500,Mission,7
Address: 530 Ellsworth Street,3,4,2050,1705000,Bernal Heights,9
Address: 42 Stoneybrook Avenue,1,2,862,750000,Excelsior,4
Address: 88 Museum Way,2.5,3,2129,2200000,Corona Heights,7
Address: 2075 Sutter Street #501,2,2,1120,1290000,Lower Pacific Heights,5
Address: 2715 Pine Street,2,3,1807,1850000,Lower Pacific Heights,6
Address: 2259 Clay Street,3,3,2613,3800000,Pacific Heights,9
Address: 2114 28th Avenue,4,5,2200,1680000,Parkside,9
Address: 45 Castenada Avenue,2.5,3,2216,1725000,Forest Hill,7
Address: 1427 42nd Avenue,2,3,1959,1200000,Outer Sunset,8
Address: 52 Gould Street,2,3,1297,660000,Bayview,7
Address: 422 Molimo Drive,1.5,2,1087,1060000,Miraloma Park,5
Address: 8 Octavia Street #507,2,2,1001,309000,Hayes Valley,5
Address: 273 Shipley Street,1,2,835,820000,South of Market,3
Address: 123 Naples Street,1,2,1040,800000,Excelsior,5
Address: 494 Liberty Street,2,2,2478,1700000,Eureka Valley - Dolores Heights - Castro,9
Address: 3015 Pacific Avenue,6,7,5000,12000000,Pacific Heights,12
Address: 1673 11th Avenue,2,3,2007,1695000,Inner Sunset,4
Address: 2622 Chestnut Street,4.5,5,3650,4600000,Cow Hollow,8
Address: 255 Moncada Way,2,3,1811,1800000,Ingleside Terrace,9
Address: 57 Westgate Drive,3,4,2620,2000000,Mount Davidson Manor,8
Address: 51 Cityview Way,2,4,1153,1200500,Midtown Terrace,6
Address: 425 1st Street #807,1,1,819,1025000,South Beach,3
Address: 3542 24th Street,3,6,3255,1785000,Mission,11
Address: 4525 19th Street,1.5,3,1246,1325000,Eureka Valley - Dolores Heights - Castro,5
Address: 512 Elizabeth Street,3,4,2174,2800000,Noe Valley,10
Address: 1506 Golden Gate Avenue,2,3,2138,1199000,Western Addition,7
Address: 2734 42nd Avenue,1,2,1500,1050000,Outer Parkside,7
Address: 1926 16th Avenue,2,3,2080,1350000,Inner Parkside,7
Address: 454 Lake Street,1,2,986,1375000,Lake,6
Address: 685 20th Avenue,4,4,3850,1100000,Central Richmond,14
Address: 1347 14th Avenue,2,3,1809,1700000,Inner Sunset,7
